iter	Logloss
721	0.2982572894
722	0.2982328914
723	0.2982081116
724	0.2981960005
725	0.2981734643
726	0.2981605277
727	0.2981407184
728	0.2981106243
729	0.2980937926
730	0.2980677675
731	0.2980477576
732	0.2980179961
733	0.2979930777
734	0.2979762003
735	0.2979555252
736	0.2979243358
737	0.2979053271
738	0.2978856632
739	0.2978626638
740	0.297848115
741	0.2978338049
742	0.2978166192
743	0.2977849588
744	0.2977646547
745	0.2977464818
746	0.2977243117
747	0.2976887952
748	0.2976675459
749	0.2976394299
750	0.2976153511
751	0.2975943546
752	0.2975682715
753	0.2975492588
754	0.2975246231
755	0.297502843
756	0.2974780298
757	0.2974598684
758	0.2974340434
759	0.2974011316
760	0.2973756554
761	0.2973437066
762	0.2973092702
763	0.2972787314
764	0.2972507485
765	0.2972294618
766	0.2971966411
767	0.2971600827
768	0.297134483
769	0.2971072158
770	0.2970796622
771	0.2970682058
772	0.2970412312
773	0.2970216738
774	0.2969990801
775	0.2969716211
776	0.2969427309
777	0.2969181322
778	0.2968964147
779	0.2968807554
780	0.296855969
781	0.2968413042
782	0.2968171131
783	0.2967908834
784	0.2967682847
785	0.2967430364
786	0.2967119139
787	0.296696802
788	0.2966741166
789	0.2966425199
790	0.2966162829
791	0.2965929305
792	0.2965620412
793	0.2965409803
794	0.2965107626
795	0.2964838934
796	0.2964425863
797	0.296415317
798	0.296389267
799	0.296368895
800	0.296337345
801	0.2963118939
802	0.2962842821
803	0.2962558937
804	0.2962313306
805	0.2962079512
806	0.29618106
807	0.2961665724
808	0.2961526377
809	0.2961311032
810	0.2961057172
811	0.2960860065
812	0.2960717641
813	0.2960496723
814	0.2960310248
815	0.2960092946
816	0.2959849647
817	0.2959608636
818	0.2959360124
819	0.2959191792
820	0.2959046946
821	0.2958841321
822	0.2958594348
823	0.2958392651
824	0.2958300272
825	0.2958115433
826	0.2957828427
827	0.295756925
828	0.2957322167
829	0.2957019441
830	0.2956779958
831	0.2956589285
832	0.2956430935
833	0.2956092586
834	0.2955927252
835	0.2955696135
836	0.2955406023
837	0.295520799
838	0.2954948658
839	0.2954744666
840	0.2954463586
841	0.2954294404
842	0.2954062422
843	0.295383257
844	0.2953727468
845	0.2953443324
846	0.2953226143
847	0.2952934831
848	0.2952686003
849	0.2952452863
850	0.2952344927
851	0.2952023543
852	0.2951862359
853	0.2951598472
854	0.2951353513
855	0.2951139555
856	0.2950822337
857	0.2950613009
858	0.2950354567
859	0.2950170215
860	0.2949903489
861	0.2949792318
862	0.2949599343
863	0.2949308869
864	0.2949034212
865	0.294885022
866	0.2948682797
867	0.2948474548
868	0.2948297697
869	0.2948135829
870	0.2947950091
871	0.2947651713
872	0.2947505145
873	0.2947312507
874	0.2947186468
875	0.2946971421
876	0.2946678631
877	0.2946490859
878	0.2946292084
879	0.2946011645
880	0.2945753869
881	0.2945573143
882	0.2945309373
883	0.2945053991
884	0.2944873735
885	0.2944703924
886	0.2944501327
887	0.2944213795
888	0.2943990627
889	0.2943796672
890	0.2943633852
891	0.2943398216
892	0.2943110801
893	0.2942915465
894	0.2942700471
895	0.2942487772
896	0.2942244096
897	0.2942019262
898	0.2941824636
899	0.2941540773
900	0.2941298625
901	0.2940995488
902	0.2940781206
903	0.294038403
904	0.2940124493
905	0.2939980743
906	0.2939743313
907	0.2939468773
908	0.2939195195
909	0.2938908982
910	0.2938667342
911	0.2938423019
912	0.2938236434
913	0.2937990991
914	0.2937826628
915	0.2937672183
916	0.2937456346
917	0.2937282721
918	0.2937150967
919	0.2936955212
920	0.2936812993
921	0.2936576261
922	0.2936355961
923	0.2936115136
924	0.2935851008
925	0.293553123
926	0.2935316008
927	0.293511592
928	0.2934905877
929	0.2934689245
930	0.2934410323
931	0.2934096622
932	0.2933869066
933	0.2933749677
934	0.2933470184
935	0.2933316007
936	0.2933083831
937	0.293291115
938	0.2932745968
939	0.2932557103
940	0.2932382308
941	0.2932113552
942	0.2931958746
943	0.2931749553
944	0.2931476953
945	0.2931341379
946	0.2931123433
947	0.2930895859
948	0.293066322
949	0.2930433489
950	0.293025796
951	0.2929902679
952	0.2929656374
953	0.2929497159
954	0.2929306301
955	0.2929012207
956	0.2928904752
957	0.2928639179
958	0.2928415964
959	0.2928083855
960	0.2927885463
961	0.2927702903
962	0.2927566804
963	0.2927355911
964	0.2927111681
965	0.2926845546
966	0.2926578353
967	0.2926339265
968	0.2925986146
969	0.2925717079
970	0.2925350005
971	0.2925115777
972	0.2924873421
973	0.2924626805
974	0.2924454797
975	0.2924194088
976	0.2924015829
977	0.2923779164
978	0.2923544268
979	0.292336244
980	0.2923135532
981	0.2922953422
982	0.2922747942
983	0.2922529312
984	0.292236278
985	0.2922129568
986	0.2921955722
987	0.2921765217
988	0.2921548462
989	0.292136603
990	0.2921142065
991	0.2920862015
992	0.2920629236
993	0.2920511034
994	0.2920326765
995	0.292007697
996	0.2919748538
997	0.2919525029
998	0.2919221323
999	0.2919003168
