iter	Passed	Remaining
400	15711	23469
401	15753	23434
402	15828	23447
403	15874	23418
404	15910	23374
405	15943	23326
406	15997	23308
407	16039	23272
408	16079	23235
409	16124	23203
410	16167	23169
411	16215	23141
412	16278	23137
413	16324	23106
414	16370	23077
415	16414	23043
416	16463	23017
417	16506	22982
418	16548	22946
419	16594	22915
420	16635	22878
421	16684	22851
422	16732	22823
423	16771	22784
424	16812	22746
425	16857	22714
426	16899	22677
427	16949	22651
428	16992	22616
429	17036	22583
430	17081	22550
431	17124	22515
432	17175	22490
433	17226	22466
434	17270	22432
435	17304	22385
436	17333	22331
437	17373	22291
438	17413	22252
439	17449	22208
440	17482	22160
441	17514	22111
442	17543	22058
443	17577	22010
444	17627	21984
445	17659	21935
446	17695	21892
447	17728	21844
448	17762	21798
449	17804	21761
450	17862	21743
451	17905	21708
452	17943	21666
453	17971	21613
454	18016	21580
455	18055	21539
456	18089	21493
457	18122	21445
458	18151	21394
459	18183	21345
460	18216	21298
461	18259	21263
462	18295	21219
463	18329	21173
464	18362	21126
465	18394	21078
466	18426	21031
467	18455	20979
468	18497	20942
469	18544	20911
470	18575	20863
471	18604	20811
472	18636	20764
473	18669	20717
474	18703	20672
475	18745	20635
476	18779	20590
477	18811	20542
478	18843	20495
479	18875	20448
480	18906	20399
481	18949	20365
482	18985	20322
483	19016	20273
484	19049	20227
485	19084	20184
486	19116	20137
487	19150	20092
488	19193	20057
489	19231	20016
490	19264	19971
491	19292	19920
492	19328	19877
493	19375	19846
494	19424	19816
495	19481	19795
496	19515	19751
497	19548	19705
498	19590	19669
499	19638	19638
500	19682	19603
501	19730	19573
502	19779	19543
503	19822	19508
504	19864	19471
505	19904	19432
506	19946	19395
507	19980	19351
508	20010	19302
509	20039	19253
510	20076	19211
511	20108	19166
512	20136	19116
513	20166	19068
514	20198	19022
515	20228	18973
516	20261	18928
517	20307	18895
518	20339	18850
519	20368	18801
520	20399	18754
521	20433	18711
522	20461	18662
523	20491	18614
524	20529	18574
525	20559	18526
526	20587	18478
527	20619	18433
528	20651	18386
529	20677	18336
530	20714	18296
531	20754	18257
532	20784	18211
533	20815	18165
534	20849	18121
535	20884	18079
536	20924	18041
537	20967	18005
538	20995	17957
539	21029	17913
540	21067	17874
541	21108	17837
542	21143	17794
543	21182	17756
544	21214	17710
545	21243	17663
546	21273	17617
547	21303	17571
548	21333	17525
549	21364	17479
550	21404	17442
551	21437	17398
552	21465	17350
553	21496	17305
554	21531	17263
555	21561	17217
556	21589	17170
557	21626	17130
558	21660	17088
559	21687	17040
560	21718	16995
561	21752	16952
562	21780	16906
563	21809	16859
564	21850	16823
565	21878	16775
566	21912	16733
567	21945	16691
568	21978	16648
569	22008	16603
570	22043	16561
571	22078	16519
572	22105	16473
573	22133	16426
574	22165	16383
575	22193	16337
576	22223	16292
577	22254	16248
578	22293	16209
579	22323	16165
580	22352	16119
581	22388	16079
582	22416	16033
583	22446	15989
584	22482	15948
585	22515	15907
586	22544	15861
587	22577	15819
588	22610	15777
589	22639	15732
590	22668	15687
591	22701	15645
592	22750	15614
593	22796	15581
594	22834	15542
595	22869	15502
596	22919	15471
597	22968	15440
598	23006	15401
599	23111	15407
600	23269	15448
601	23366	15448
602	23418	15418
603	23447	15372
604	23475	15327
605	23514	15288
606	23542	15242
607	23572	15197
608	23600	15152
609	23641	15115
610	23675	15073
611	23708	15030
612	23746	14991
613	23780	14950
614	23811	14906
615	23840	14861
616	23869	14817
617	23902	14774
618	23933	14731
619	24056	14744
620	24149	14738
621	24219	14718
622	24253	14676
623	24281	14631
624	24311	14586
